ID,Canonical_Smiles,Inhibition
BDB_000001,Brc1ccc(-c2nc3ccc(Br)cn3n2)cc1,41.11153415630064
BDB_000002,Brc1ccc(-n2c(SCc3ccccc3)nnc2-c2ccncc2)cc1,50.95945076372217
BDB_000003,C#CC(C)(C)C[C@]1(c2ccccc2)CCN([C@@H](C)c2ccc(-c3ccc(=O)[nH]c3)cc2)C(=O)O1,43.57723202265104
BDB_000004,C#CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc(Nc4cc(C)c5[nH]ncc5c4)n3)c3ccccc23)n(-c2ccc(C)cc2)n1,47.901542799896404
BDB_000005,C#CCCCCCCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21.N,33.34295826252342
BDB_000006,C#CCCCCCCCCCCCCCCCCCCOP(=O)([O-])CO[C@H](C)Cn1cnc2c(N)ncnc21,33.34295826252342
BDB_000007,C#CCCCCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21.N,38.090199709379384
BDB_000008,C#CCCCCCCCCCCCCCCCCOP(=O)([O-])CO[C@H](C)Cn1cnc2c(N)ncnc21,38.090199709379384
BDB_000009,C#CCCCCCCCCCCCCCCCCSCCCOP(=O)([O-])CO[C@H](C)Cn1cnc2c(N)ncnc21,34.796358699547426
BDB_000010,C#CCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21.N,37.76579062923673
BDB_000011,C#CCCCCCCCCCCCCCCOCCCOP(=O)([O-])CO[C@H](C)Cn1cnc2c(N)ncnc21,37.76579062923673
BDB_000012,C#CCCCCCCCCCCCCCOP(=O)(O)CO[C@H](C)Cn1cnc2c(N)ncnc21.N,32.900491047397956
BDB_000013,C#CCCCCCCCCCCCCCOP(=O)([O-])CO[C@H](C)Cn1cnc2c(N)ncnc21,32.900491047397956
BDB_000014,C#CCN(C)c1nc2ccc(C(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)OCc3cncs3)cc2o1,69.15161439139722
BDB_000015,C#CCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)c1ccc2nc(N3CCCC3)oc2c1,67.76300536469624
